"textid","textcaption"
"109","ЧЕЛЯБИНСКАЯ ОБЛАСТЬ<BR>Гор. ЧЕЛЯБИНСК. ЮЖНО-УРАЛЬСКАЯ ЖЕЛ.ДОР."
"110","Гор.КАЗАНЬ. КАЗАНСКАЯ жел.дор.<BR>МАРИЙСКАЯ АССР<BR>МОРДОВСКАЯ А.С.С.Р."
"111","Гор.ОМСК. ОМСКАЯ жел.дор.<BR>КРАСНОЯРСКИЙ КРАЙ"
"112","КУЙБЫШЕВСКАЯ ОБЛАСТЬ<BR>г.КУЙБЫШЕВ. Жел.дор.им.КУЙБЫШЕВА"
"113","ВОРОНЕЖСКАЯ ОБЛАСТЬ<BR>Гор. ВОРОНЕЖ. М.ДОНБАССКАЯ ЖЕЛ.ДОР.<BR>Гор. ВОРОНЕЖ. Ю-ВОСТОЧНАЯ ЖЕЛ.ДОР."
"114","Гор. ГОРЬКИЙ - ГОРЬКОВСКАЯ ЖЕЛ.ДОР."
"115","АРХАНГЕЛЬСКАЯ ОБЛАСТЬ<BR>ВОЛОГОДСКАЯ ОБЛАСТЬ"
"116","г. ЯРОСЛАВЛЬ - ЯРОСЛАВСКАЯ ЖЕЛ.ДОР."
"117","УКРАИНСКАЯ С.С.Р.<BR>г.ДНЕПРОПЕТРОВСК - СТАЛИНСКАЯ жел.дор."
"118","ОРДЖОНИКИДЗЕВСКИЙ КРАЙ<BR>СЕВЕРО-ОСЕТИНСКАЯ АССР"
"119","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ<BR>КАЛИНИНСКАЯ ОБЛАСТЬ"
"120","КРЫМСКАЯ А.С.С.Р."
"121","ВОЛОГОДСКАЯ ОБЛАСТЬ"
"122","МОСКВА-ЦЕНТР<BR>МОСКОВСКАЯ ОБЛАСТЬ<BR>Гор.МОСКВА. МОСК.ОКРУЖНАЯ жел.дор.<BR>Гор.КАЛУГА. МОСК.КИЕВСКАЯ жел.дор."
"123","Гор.ХАБАРОВСК. ДАЛЬНЕ-ВОСТОЧНАЯ ж.д."
"124","ТУРКМЕНСКАЯ С.С.Р."
"125","УЗБЕКСКАЯ С.С.Р."
"126","АЛТАЙСКИЙ КРАЙ"
"127","УКРАИНСКАЯ С.С.Р.<BR>гор.ОДЕССА - ОДЕССКАЯ ЖЕЛ.ДОРОГА"
"128","Гор.СВОБОДНЫЙ. АМУРСКАЯ жел.дор."
"129","МОСКВА-ЦЕНТР<BR>Гор.МОСКВА. Жел.дор.им.ДЗЕРЖИНСКОГО<BR>Гор.МОСКВА. МОСК.ОКРУЖНАЯ жел.дор."
"130","ЧЕЧЕНО-ИНГУШСКАЯ АССР<BR>Гор. ТБИЛИСИ. ЗАКАВКАЗСКАЯ жел. дор.<BR>АРМЯНСКАЯ ССР<BR>МАРИЙСКАЯ АССР<BR>ТУЛЬСКАЯ ОБЛАСТЬ<BR>КАБАРДИНО-БАЛКАРСКАЯ АССР"
"131","ТАТАРСКАЯ АССР<BR>Гор.АЛМА-АТА. ТУРКЕСТ.СИБИР. ж.д.<BR>КАРЕЛЬСКАЯ А.С.С.Р.<BR>ЛЕНИНГРАДСКАЯ ОБЛАСТЬ<BR>КРАСНОЯРСКИЙ КРАЙ<BR>УЗБЕКСКАЯ ССР"
"132","ТАТАРСКАЯ А.С.С.Р."
"133","ВОЛОГОДСКАЯ ОБЛАСТЬ<BR>ТАМБОВСКАЯ ОБЛАСТЬ<BR>ТУЛЬСКАЯ ОБЛАСЬ<BR>КИРГИЗСКАЯ С.С.Р."
"134","УКРАИНСКАЯ С.С.Р.<BR>Ст.ЯСИНОВАТАЯ. ЮЖНО-ДОНЕЦКОЙ ж.д."
"135","Гор.СТАЛИНГРАД. СТАЛИНГРАДСКАЯ ж.д."
"136","СМОЛЕНСКАЯ ОБЛАСТЬ<BR>Гор.СМОЛЕНСК. ЗАПАДНАЯ ж.д."
"137","ОРЛОВСКАЯ ОБЛАСТЬ"
"138","НОВОСИБИРСКАЯ ОБЛАСТЬ<BR>Гор. НОВОСИБИРСК. ТОМСКАЯ жел. дор."
"139","МОРДОВСКАЯ АССР"
"140","КУРСКАЯ ОБЛАСТЬ"
"141","Гор.КУЙБЫШЕВ. КУЙБЫШЕВСКАЯ жел.дор."
"142","КРАСНОДАРСКИЙ КРАЙ"
"143","БАШКИРСКАЯ АССР"
"144","АРХАНГЕЛЬСКАЯ ОБЛАСТЬ"
